tick,total-developed,total-transfers,mean-density,green-areas-protected,heritage-areas-protected,total-incentives-paid,tdr-price,developed-count,conserved-count,west-developed-count,mean-land-value-receiving,tdr-efficiency-ratio
0,23,0,0.003996763754045308,0,0,0,2100,23,0,1,3.740312930872223,0
1,37,0,0.007152103559870548,0,0,0,2100,37,0,3,3.7726753904191432,0
2,57,0,0.011181229773462779,0,0,0,2100,57,0,5,3.8115103418754557,0
3,73,0,0.015323624595469251,0,0,0,2100,73,0,6,3.8519634163091117,0
4,85,0,0.01804207119741098,0,0,0,2100,85,0,7,3.8778533839466545,0
5,92,0,0.02134304207119739,0,0,0,2100,92,0,7,3.9085977205162346,0
6,97,0,0.02464401294498379,0,0,0,2100,97,0,7,3.93934205708581,0
7,102,0,0.028333333333333308,0,0,0,2100,102,0,7,3.973322639610084,0
8,106,0,0.03163430420711973,0,0,0,2100,106,0,7,4.002448853202316,0
9,109,0,0.03469255663430418,0,0,0,2100,109,0,7,4.029956943817208,0
10,110,0,0.03877022653721682,0,0,0,2100,110,0,7,4.065555649318825,0
11,114,0,0.04218446601941745,0,0,0,2100,114,0,8,4.096299985888404,0
12,117,0,0.04569579288025888,0,0,0,2100,117,0,9,4.127044322457981,0
13,118,1,0.04817152103559868,1,0,4554651.315789473,2142.1052631578946,118,1,9,4.14969804414083,1
14,119,5,0.052006472491909365,5,0,2.3874174043062203E7,2184.848484848485,119,5,9,4.183678626665102,1
15,123,10,0.05569579288025889,10,0,4.490868871004955E7,2231.25,123,10,9,4.216041086212025,1
16,127,15,0.05880258899676377,15,0,6.842494522736606E7,2235.6512434763185,127,15,9,4.243549176826914,1
17,127,22,0.062394822006472506,22,0,9.920424716531101E7,2241.3582129285037,127,22,9,4.274293513396494,1
18,127,23,0.06482200647249195,23,0,1.0093227138446628E8,2149.6493132292,127,23,9,4.295329112101993,1
19,129,30,0.06841423948220078,27,0,1.3039127178098696E8,2149.8114305850004,129,27,9,4.326073448671572,0.9
20,132,37,0.07139158576051789,28,0,1.6362877652608523E8,2259.356511519796,132,28,11,4.351963416309114,0.7567567567567568
21,132,41,0.07313915857605183,31,0,1.8031960146343517E8,2270.428536857391,132,31,11,4.3665265231052315,0.7560975609756098
22,132,44,0.07542071197411013,31,0,1.8965819243399E8,2218.065484012488,132,31,11,4.385943998833385,0.7045454545454546
23,133,47,0.07891585760517811,31,0,2.02404158550205E8,2160.3103553928418,133,31,11,4.415070212425621,0.6595744680851063
24,134,52,0.08328478964401301,31,0,2.22605544239813E8,2162.323988553094,134,31,11,4.452287040904584,0.5961538461538461
25,134,56,0.08503236245954707,32,0,2.4075365735340026E8,2230.754159523882,134,32,11,4.466850147700699,0.5714285714285714
26,134,57,0.08833333333333344,33,0,2.448797437667233E8,2168.272165177809,134,33,11,4.494358238315589,0.5789473684210527
27,134,57,0.08983818770226545,33,0,2.448797437667233E8,2169.1147750597925,134,33,11,4.507303222134363,0.5789473684210527
28,136,58,0.0912944983818771,34,0,2.4927047580851933E8,2307.3443251793788,136,34,11,4.520248205953129,0.5862068965517241
29,137,62,0.0927022653721683,36,0,2.668531260650619E8,2309.9353311055324,137,36,11,4.533193189771899,0.5806451612903226
30,137,64,0.09440129449838199,37,0,2.76130377154574E8,2320.9809774555706,137,37,11,4.547756296568018,0.578125
31,137,67,0.0964886731391587,38,0,2.896064639761122E8,2326.95144802944,137,38,11,4.5655556493188225,0.5671641791044776
32,138,69,0.09813915857605184,39,0,2.950316315090292E8,2335.7589506622367,138,39,11,4.580118756114941,0.5652173913043478
33,138,69,0.09998381877022669,39,0,2.950316315090292E8,2259.945419473517,138,39,11,4.596299985888404,0.5652173913043478
34,139,69,0.10085760517799368,39,0,2.950316315090292E8,2259.945419473517,139,39,11,4.604390600775134,0.5652173913043478
35,139,71,0.10275080906148884,39,0,3.0341659400163084E8,2259.945419473517,139,39,11,4.620571830548598,0.5492957746478874
36,140,74,0.10503236245954702,39,0,3.162264471776987E8,2346.972066858844,140,39,11,4.639989306276754,0.527027027027027
37,140,80,0.1075566343042073,39,1,3.3621228227257025E8,2357.4469021359614,140,40,11,4.661024904982255,0.5
38,140,85,0.10969255663430447,40,1,3.548423208869313E8,2468.6113890945808,140,41,11,4.678824257733066,0.4823529411764706
39,140,89,0.11182847896440148,40,1,3.664975175297384E8,2591.0801304537868,140,41,11,4.696623610483872,0.4606741573033708
40,140,92,0.11260517799352769,40,2,3.7821803097504085E8,2616.4415487678543,140,42,11,4.70309610239326,0.45652173913043476
41,141,95,0.11449838187702287,40,2,3.8664738669792736E8,2756.0299805794916,141,42,11,4.71927733216672,0.4421052631578947
42,141,100,0.11585760517799364,40,3,3.992488394518208E8,2779.8676414700594,141,43,11,4.730604193008145,0.43
43,141,102,0.11697411003236272,40,3,4.024759851983979E8,2948.092296920423,141,43,11,4.7403129308722205,0.4215686274509804
44,142,110,0.11852750809061507,40,3,4.196527687242694E8,2960.245285132004,142,43,11,4.753257914690995,0.39090909090909093
45,142,115,0.1196925566343044,40,3,4.290497594728631E8,3021.8888464008196,142,43,11,4.762966652555071,0.3739130434782609
46,142,120,0.12085760517799371,40,3,4.338290932823569E8,2927.461268881833,142,43,11,4.772675390419148,0.35833333333333334
47,142,123,0.12182847896440151,40,3,4.3509481973595715E8,2952.1249142713937,142,43,11,4.780766005305881,0.34959349593495936
48,142,126,0.12236245954692583,40,3,4.385679065517344E8,2957.9753738097447,142,43,11,4.785620374237919,0.3412698412698413
49,142,126,0.12294498381877046,40,3,4.385679065517344E8,2976.6195664168695,142,43,11,4.79047474316996,0.3412698412698413
50,143,126,0.12367313915857632,40,3,4.385679065517344E8,2976.6195664168695,143,43,11,4.796947235079344,0.3412698412698413
51,143,127,0.12483818770226557,40,3,4.404338005269428E8,2976.6195664168695,143,43,11,4.806655972943419,0.33858267716535434
52,143,128,0.12503236245954705,40,3,4.4239954435504115E8,2985.8644005443616,143,43,11,4.808274095920766,0.3359375
53,143,128,0.1256148867313918,40,3,4.4239954435504115E8,2995.306305107187,143,43,11,4.813128464852806,0.3359375
54,143,128,0.12634304207119765,40,3,4.4239954435504115E8,3144.5240226250517,143,43,11,4.819600956762189,0.3359375
55,143,128,0.12765372168284814,40,3,4.4239954435504115E8,3144.5240226250517,143,43,11,4.830927817603614,0.3359375
56,143,128,0.12857605177993547,40,3,4.4239954435504115E8,3144.5240226250517,143,43,11,4.839018432490349,0.3359375
57,143,128,0.12896440129449863,40,3,4.4239954435504115E8,3144.5240226250517,143,43,11,4.842254678445036,0.3359375
58,143,129,0.1300809061488675,40,3,4.470797752972157E8,3144.5240226250517,143,43,11,4.8519634163091165,0.3333333333333333
59,143,129,0.13100323624595495,40,3,4.470797752972157E8,3173.118356882283,143,43,11,4.860054031195844,0.3333333333333333
60,143,130,0.13173139158576078,40,4,4.512236695514067E8,3173.118356882283,143,44,11,4.866526523105233,0.3384615384615385
61,143,130,0.13231391585760544,40,4,4.512236695514067E8,3203.3223221227922,143,44,11,4.871380892037269,0.3384615384615385
62,143,130,0.13270226537216856,40,4,4.512236695514067E8,3203.3223221227922,143,44,11,4.874617137991967,0.3384615384615385
